unique_id,black,blk_num
AL_Mobile_A1,None,0
AL_Mobile_A2,None,0
AL_Mobile_A3,None,0
AL_Mobile_A4,None,0
AL_Mobile_A5,None,0
AL_Mobile_A6,None,0
AL_Mobile_B1,No,0
AL_Mobile_B2,None  No,0
AL_Mobile_B3,None,0
AL_Mobile_B4,None,0
AL_Mobile_B5,None,0
AL_Mobile_B7,None,0
AL_Mobile_B8,None,0
AL_Mobile_C1,None,0
AL_Mobile_C2,Less than 1 Spotted - very few,1
AL_Mobile_C3,5 Only a few,5
AL_Mobile_C4,Spotted - very few Less than 1,1
AL_Mobile_C5,None,0
AL_Mobile_C6,None,0
AL_Mobile_C7,10 Only a few,10
AL_Mobile_D1,"None in D-1, scattered in D-2, 4 15",1
AL_Mobile_D2,"None in D-1, scattered in D-2, 4 15",1
AL_Mobile_D3,Yes 15,15
AL_Mobile_D4,"15 None in D-1, scattered in D-2, 4",15
AL_Mobile_D5,15 Yes,15
AL_Mobile_D6,Many 90,90
AL_Montgomery_A1,0 None,0
AL_Montgomery_A2,None 0,0
AL_Montgomery_A3,0 None,0
AL_Montgomery_B1,None 0,0
AL_Montgomery_B2,None,0
AL_Montgomery_B3,10 families,5
AL_Montgomery_C1,None 0,0
AL_Montgomery_C2,0 None,0
AL_Montgomery_C3,0 None,0
AL_Montgomery_C4,0 None,0
AL_Montgomery_C5,0 None,0
AL_Montgomery_C6,0 None,0
AL_Montgomery_D1,about 2% of area's population A few,2
AL_Montgomery_D2,A few 5% of area's population.,5
AL_Montgomery_D3,0 Very few,0
AL_Montgomery_D4,about 5% of area's propulation Few,5
AL_Montgomery_D5,90% of area's population Many,90
AL_Montgomery_D6,75 Many,75
AL_Montgomery_D7,80% of area's population. Many,80
CA_Oakland_A1,No -,0
CA_Oakland_A10,- No,0
CA_Oakland_A11,No -,0
CA_Oakland_A2,- None,0
CA_Oakland_A3,None -,0
CA_Oakland_A4,None -,0
CA_Oakland_A5,None -,0
CA_Oakland_A6,No -,0
CA_Oakland_A7,None -,0
CA_Oakland_A8,- No,0
CA_Oakland_A9,- No,0
CA_Oakland_B1,- No,0
CA_Oakland_B10,- No,0
CA_Oakland_B11,- No,0
CA_Oakland_B12,No -,0
CA_Oakland_B13,- No,0
CA_Oakland_B14,No -,0
CA_Oakland_B15,No -,0
CA_Oakland_B16,- No,0
CA_Oakland_B17,"1/5% Yes, One wealthy family",0.2
CA_Oakland_B18,trace One colored family,0.5
CA_Oakland_B19,- No,0
CA_Oakland_B2,No -,0
CA_Oakland_B20,- No,0
CA_Oakland_B21,No -,0
CA_Oakland_B22,- No,0
CA_Oakland_B23,No -,0
CA_Oakland_B24,- No,0
CA_Oakland_B25,- No,0
CA_Oakland_B26,- No,0
CA_Oakland_B27,- No,0
CA_Oakland_B28,No -,0
CA_Oakland_B29,No -,0
CA_Oakland_B3,No -,0
CA_Oakland_B30,- No,0
CA_Oakland_B31,- No,0
CA_Oakland_B32,No -,0
CA_Oakland_B33,No -,0
CA_Oakland_B34,No -,0
CA_Oakland_B35,- No,0
CA_Oakland_B36,- No,0
CA_Oakland_B37,- No,0
CA_Oakland_B38,- No,0
CA_Oakland_B39,No -,0
CA_Oakland_B4,No -,0
CA_Oakland_B40,No -,0
CA_Oakland_B41,- No,0
CA_Oakland_B42,- No,0
CA_Oakland_B43,- No,0
CA_Oakland_B44,No -,0
CA_Oakland_B45,No -,0
CA_Oakland_B46,- No,0
CA_Oakland_B5,No -,0
CA_Oakland_B6,No -,0
CA_Oakland_B7,No -,0
CA_Oakland_B8,- No,0
CA_Oakland_B9,- No,0
CA_Oakland_C1,No -,0
CA_Oakland_C10,No -,0
CA_Oakland_C11,No -,0
CA_Oakland_C12,"Not known, but a threat",0
CA_Oakland_C13,- No,0
CA_Oakland_C14,1/5% Three families (Harrison St.),0.2
CA_Oakland_C15,1/4% One wealthy family,0.25
CA_Oakland_C16,No -,0
CA_Oakland_C17,No -,0
CA_Oakland_C18,Three families 1/10%,0.1
CA_Oakland_C19,1/10% Slight infiltration,0.1
CA_Oakland_C2,No -,0
CA_Oakland_C20,NO; but there is threat -,0
CA_Oakland_C21,- No,0
CA_Oakland_C22,- No,0
CA_Oakland_C23,Two families 1/2%,0.5
CA_Oakland_C24,"Yes, three families 1/10%",0.1
CA_Oakland_C25,No -,0
CA_Oakland_C26,- Not yet,0
CA_Oakland_C27,no N/A,0
CA_Oakland_C28,N/A no,0
CA_Oakland_C29,1/10% yes: very little,0.1
CA_Oakland_C3,- three families,1.5
CA_Oakland_C30,"N/A no, but a threat",0
CA_Oakland_C31,no N/A,0
CA_Oakland_C32,N/A no,0
CA_Oakland_C33,no N/A,0
CA_Oakland_C34,N/A no,0
